state,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
AK,8,Far West,10,154,3691.45,9478.03,20652.64,21836.99,12179.94
AL,5,Southeast,76,259,7981.38,12317.97,20214.73,25981.61,16459.71
AR,5,Southeast,75,261,4928.25,9684.85,14396.23,22184.91,13136.99
AS,9,Outlying Areas,1,38,884.0,5460.0,5760.0,10560.0,4812.0
AZ,6,Southwest,100,324,21750.0,7890.21,17723.32,21729.25,13476.98
CA,0,Unknown,1,37,,,,,
CA,8,Far West,609,348,11745.9,13181.38,22387.63,28019.72,13231.96
CO,0,Unknown,1,36,4124.0,,,,
CO,7,Rocky Mountains,82,292,9583.1,17004.58,28636.76,31149.54,18111.24
CT,0,Unknown,1,9,1081.0,,,,
CT,1,New England,54,265,5961.46,28892.23,40550.93,41207.91,21658.85
DC,2,Mid East,21,212,6719.88,46514.31,47012.93,63877.71,33903.05
DE,2,Mid East,15,202,11191.49,13009.75,25750.71,24932.67,15375.21
FL,5,Southeast,312,312,12330.78,16407.36,22899.99,30536.59,16635.5
FM,9,Outlying Areas,1,41,1740.0,5050.0,5050.0,10519.0,7012.0
GA,5,Southeast,133,311,8588.36,12977.31,19112.56,26571.71,13664.77
GU,9,Outlying Areas,3,70,1865.89,5046.96,8297.24,13104.07,7240.66
HI,8,Far West,21,183,5547.27,12608.35,22114.01,25313.59,14918.04
IA,4,Plains,75,289,6680.76,20400.75,25370.43,32933.26,17410.27
ID,7,Rocky Mountains,32,243,9148.05,9260.99,21461.6,21681.57,14497.47
IL,3,Great Lakes,224,324,6268.24,22058.0,26606.58,34085.19,14750.15
IN,3,Great Lakes,102,316,11569.48,22374.25,30871.84,34456.54,16984.86
KS,4,Plains,72,291,5310.64,14056.37,19550.52,26732.17,16087.44
KY,5,Southeast,83,281,6706.82,15324.06,21473.89,27844.13,13177.19
LA,5,Southeast,107,270,7190.73,17032.89,22375.84,32107.07,17856.49
MA,1,New England,139,335,6059.42,36906.33,40936.48,52276.44,23586.47
MD,0,Unknown,1,26,4465.0,,,,
MD,2,Mid East,72,292,8918.92,19948.33,28446.6,33839.28,15558.48
ME,1,New England,33,233,3247.57,18921.86,27026.71,31450.87,16884.05
MH,9,Outlying Areas,1,14,1216.0,6840.0,7480.0,17852.0,11050.0
MI,3,Great Lakes,153,345,8978.49,16825.22,24350.13,27752.71,14306.62
MN,4,Plains,88,307,6139.03,18548.08,21097.74,30439.58,17374.73
MO,4,Plains,134,320,5362.99,20816.25,25719.01,34054.97,17338.07
MP,9,Outlying Areas,1,16,1236.0,4038.0,5520.0,9939.0,2795.0
MS,5,Southeast,50,252,6608.55,8805.41,13641.55,21030.1,11186.46
MT,7,Rocky Mountains,28,224,4257.35,9615.7,22286.85,22562.84,15079.85
NC,5,Southeast,160,307,6809.29,13752.21,20942.34,27342.97,13484.11
ND,4,Plains,25,229,4221.89,10334.15,12608.66,21953.05,14537.44
NE,4,Plains,39,250,6135.06,17812.27,22418.5,30666.92,17436.97
NH,1,New England,32,237,18180.32,23374.13,30641.83,39911.41,23740.83
NJ,2,Mid East,144,299,7872.19,21776.81,27312.02,35272.55,17674.29
NM,6,Southwest,43,244,5531.06,5122.15,12354.5,16953.25,8733.21
NV,8,Far West,37,208,14650.84,7085.58,19615.13,19016.14,11752.61
NY,0,Unknown,2,50,4170.38,945.0,945.0,9547.0,7506.0
NY,2,Mid East,395,358,6981.12,28812.31,32981.45,42664.59,20577.28
OH,0,Unknown,1,23,,,,,
OH,3,Great Lakes,265,340,7943.55,18885.8,24627.74,30907.23,17708.28
OK,6,Southwest,94,291,5559.96,14570.57,21355.27,28134.3,14050.44
OR,8,Far West,71,295,7027.7,17188.2,27826.22,29953.02,17142.1
PA,2,Mid East,283,342,5089.38,33919.52,37103.52,47718.67,24111.89
PR,9,Outlying Areas,119,246,3406.56,6493.68,6833.16,14631.07,7999.64
PW,9,Outlying Areas,1,32,386.0,3730.0,3970.0,9408.0,2810.0
RI,1,New England,21,221,6448.86,36244.12,41938.86,50992.85,26672.06
SC,5,Southeast,87,269,6849.68,16567.65,24603.98,30364.27,16515.41
SD,4,Plains,26,230,2910.72,13013.98,14722.75,25669.44,17582.26
TN,5,Southeast,137,292,5825.03,22026.41,27271.9,35619.51,16354.95
TX,6,Southwest,368,340,13439.32,15158.64,22617.9,27587.02,15097.0
UT,7,Rocky Mountains,59,288,20076.11,9242.36,19648.27,20867.1,12815.69
VA,5,Southeast,136,310,10519.86,18659.26,28117.14,32324.19,18080.71
VI,9,Outlying Areas,1,37,1431.0,5612.0,15521.0,16582.0,7563.0
VT,1,New England,16,204,4480.97,34514.96,43041.15,51513.15,25272.92
WA,8,Far West,94,322,7490.36,15212.14,23126.06,28776.65,14731.89
WI,3,Great Lakes,83,318,7588.36,16337.18,22226.87,28190.59,16397.02
WV,5,Southeast,67,244,7045.2,11344.76,18160.0,21928.43,10613.58
WY,7,Rocky Mountains,10,181,3186.46,5161.62,13802.83,16817.63,9621.93
